clean_text,sentimen
seru jogging tracknya,positif
tugas kantor launching kerja walikota program quickwin nya belum penuh lokasi ready spot tarik kunjung,positif
super duper keren warga yogyakarta grha barusan resmi ngarsa dalem,positif
ngatmo mbilung,positif
bersih nyaman kursi baik,positif
jogging pagi,positif
lumayan jalanjoging pagi tempat hrs banya baik coba tanah kosong bela sedia sarana main anak jdi bawa anak org tua olahraga anak main sy kesana parkir suruh halaman pancing sebrang jalan hrs bayar parkir gratis moga depan bagus,negatif
kali suasana sepi damai adem banget mata sejuk pandang ruang meeting mushola nyaman,positif
publik asri,positif
openingan nihh,positif
tempat baguss cocok jalan santai,positif
enak jogging pagi sayang nggak jogging sore tutup,positif
kesini pagi bt jogging mayan sepi jam atas rame,positif
crowded olahraga weekend,positif
track olahraga muterin bagus bersih sayang sisi utara belum bersih,positif
nyaman enak jogging santa arsitektur keren khas yogyakarta padu gaya kolonial sayang buka pagi moga besok buka sore,positif
kurang maintenance lampu terang banget pecah kurang informasi kurang pohon indang siang situ bener panas gersang banget gitu parkir gaada indang kendara parkir macem jemur pajang bagi rusak jatuh sampah ganggu estetika tempat luas bagus cocok jogging dipagisore tracknya lumayan liku bersih konsep tarik tidak ekspect amphitheater gedung graha saran dibanyakin nanem pohon indang jalur tracking parkir laku maintenance sedia sampah banyak titik kasi macem peta lokasi gitu unjung tau titik sengaja post foto area kurang oke harap baik area moga depan maintenace ya sayang banget dibiarin gitu karna konsep udah bagus banget,negatif
apik biat refreshing,positif
tempat enak banget jogging pagi sore cuman kesan gersang krna jarang tumbuh bersih nyamaan toilet bersih keren banget bangunanya,positif
enak lari pagi,positif
ruang buka warga yogyakarta,positif
area buka publik madu graha keliling bangun jogging track cocok olahraga jalan lari sepeda keliling cocok pagi sore siang terik belum pohon samping graha ruang publik indoor fasilitas tunjang lumayan lengkap kamar mandi toilet mushola parkir luas akses kesini mudah letak tepi jalan utama pusat,positif
favorit jogging bareng besti keluarga bersih nyaman parkir gratis untung liat gagah rapi tidak tutup awan nyaman suasana gk ngebosenin,positif
nyaman foto nongkrong sore malam sayang tidak jajan,positif
cultural center in umbulharjo area across the former clean fish market spacious parking area instagramable structures outdoor area,positif
jogging track nya oke banget sedia toilet musholla parkir gratis,positif
st time kesini lokasi enak jogging tempat santai nyaman rumput hijau bangun putih toilet bersih belakang kurang awat,positif
tempat rumah minggu pagi coba jalan kalkijoging lumayan rame masuk gratis bebas biaya parkir areanyanya lumayan luas cocok olahraga sedia toilet rencana jajan belum buka tahap renovasi,positif
ruang publik pajak masyarakat salah hahahahha mo latih anak anak nari anak biar teduh lapang tegur ijin pusat pintar wkwkwkkwkwkw aduh aduh mewah si,negatif
nyaman jalur jalan kaki lari angin sepoisepoi,positif
yogyakarta ruang buka olahraga nian lokasi strategis parkir luas fasilitas bagus lengkap moga awat unjung jaga bersih buang sampah sedia mohon tambah pohon beberapa titik hijau lebih bagus,positif
enak jalan pagi parkir,positif
jogging nyaman banget free parkir tingal masuk nyelonong track lumayan,positif
tempat bagus senang cocok jadi rekreasi keluarga,positif
bintang usul tuju bintang usul puasa mohon buka jam malam jogging olahraga,negatif
wisata pagi olaraga jalan,positif
moga kembang yogyakarta luas bersih moga pelihara jaga ramah,positif
lumayan bersihsemoga bersihtapi duduk mancing embunghrsnya papan larang mancingada ank mancing pagar keliling halaman parkir lumayan,positif
overall very goodmubeng gembrobyos,positif
manfaat kagem masyarakat,positif
enak olahraga,positif
layout bagus manfaat lahan dulunya sawah harap depan pohon indang nyaman bersih udara dukung tata kelola lanjut alternatif ruang publik,positif
olahraga tipis cocok joging trackingnya parkir luas parkir free mushola tolilet jaga parkiryg arah ramah siang panas ramai,positif
parkir gratis track tidak jembatan hubung shortcut panas pohon belum,positif
lawang sewu gedhe,positif
konsep tarik alternatif wisata olah raga hoby joging lintas pada sayang ribu sayang embung sampah sisi timur utara belum sentuh awat,negatif
tempat bagus,positif
tau joging track cakep bersiih luas nyaman,positif
perdana jalan cepat kmjam,positif
joging pancing,positif
buaguus banget tidak nyangka bagus sayang sampah embung mohon sih,positif
asik joging kitar bentuk nggak karuan putar km langkah menit lumayan panas sih hawa gpp bagus bakar kalori maksimal,positif
lumayan bagus foto sm temen,positif
tbeg harap fasum budaya perhati seksama dinas kait biaya anggar capai puluh miliar tahun fasilitas sarana rusak tidak maintenance perhati tanggung pelihara fasilitas bangga warga yogyakarta warga yogyakarta peduli harap baik manajemen tata kelola maintenance jadwal bangga fasilitas baik giat fasilitas olah raga terimakasih,negatif
parkir luas gratis satpam jaga parkir track jogging lumayan jalan santai menitputaran,positif
bagus sejuk enak jogging parkir gratis,positif
bangun keren tidak nilai,positif
bagus,positif
cocok jalan pagi udara segar parkir gratis,positif
bangun sungguh etnik,positif
track nyaman jogging view gedung,positif
acara event gowes ultah jogya folding bike,positif
suasana malam indah suasana,positif
public space nya luas cocok gelar acara sekolah,positif
fasilitas udah kayak kurang awat,negatif
sampah genang sisi utara,negatif
cocok jogging pagi buka pagi kecuali event,positif
tempat bagus bangunanya benuansa kuno,positif
tempate bagus renovasi bersih,positif
kesini libur gaes mikirnya kek sepi nih tempat wisata taunyaohh tidak rame neng sih liat orangorang sana beneran olahraga lari jalan badminton senam mksdnya area tidak pakai dar nongkrong jual gt kesana tuh bangun gedung jalan licin air hujan ketemu tanah trs sedih area deket air embung penuh sampah bungkus plastik,positif
nyaman olah raga pagi bersih fasilitas parkir luas,positif
cocok joging parkir gratis renovasi,positif
nice,positif
kesini garagara konser gratis kesana bantu nyebrang gampang parkir gratis gaada tiket gatau tiket engga tempat luas parkir luas mobil lumayan muat fotofoto lumayan bagus musholla toilet toilet bersih kaca,positif
joging ter nyaman,positif
kali dtg kesini anak giat pramuka pdtl tempat bagus sayang wkt kesana hujan lebat pagi gk lihat detail insyaallah next time maen kesini,positif
spot olahraga warga selatan,positif
salah wisata keluarga wisata edukasi fasilitas sana jogging trackmushollatoiletparkir luas gratis kegiatankegiatan eventevent musik mini medium tidak sesal wisata,positif
ruang buka hijau luas cocok event event embung luas jogging track nya lumayan gedung bagus moga rawat yogyakarta butuh ruang buka hijau,positif
public wajib kunjung kmrn kesana acara festival sastra tajuk siyaga laksana tgl nov event olahraga jogging jogging track lumayan pjg nikmat pandang kamar mandi bersih musola bersih tahap bangun nikmat indah fungsi byk ruang rapat kelas dr lantai parkir luas tidak pungut biaya masuk olahraga mgkn tambah sampah jaga bersih smga tampung byk event keren seru,positif
kunjung kali benarbenar kesan suasana klasik tenang cocok cari inspirasi sayang bangun fasilitas belum selesai moga bangun cepat unjung nikmat fasilitas rencana festival sastra tambah semarak suasana,positif
tempat bagus cmn sadar unjung kurang tertib buang sampahperlu sedia sampah,negatif
udara sejukdi pagi,positif
bagus tahap kembang kawasan masjid kios tpi belum bukaentertaimen cocok olah raga jogging gathering dll,positif
keren alternatif piknik,positif
seru,positif
salah destinasi wisata edukasi rekreasi tarik kunjung letak kawasan strategis tawar suasana tenang hijau latar waduk indah fasilitas sedia lengkap jogging track area main anak duduk santa unjung nikmat suasana tenang foto berjalanjalan cocok usia keluarga nikmat individu cari relaksasi,positif
pinggir jogjacocok pwnikmat joging jalan jalan pagi lumayan tambah bugar sehat,positif
proyek belum selesai bangun dalam embung tidak kolam tidak tiket masuk buka jam,positif
proses bangun bagus suasana elegan,positif
lihat pentas anak anak,positif
trek joging istimewa indah,positif
cocok jogging,positif
tau kayak gin kayak bangun halaman luas acaraacara tema budaya selenggara belah barat bangun halaman parkir luas mushola toilet belah timur bangun utama mushola bagus bersih toilet bagus luas sayang pakai tidak jaga bersih tinggal bau buang air drainase kamar mandi bukan closetnya kondisi embung belum lihat situ malam hujan,positif
proses bangun,positif
olahraga pagi gratis,positif
bagua foto,positif
bangun belum dbuka parkir luas security akses mudah djangkau,positif
belum buka luas bangun belum selesai untung masuk pagi kadang untung masuk kadang masuk alas kurang masuk akal petugassatpam nya madu rekreasi pentas acara fasilitas gedung luas tempatpanggung outdoor bagus,positif
jogging buka kamar mandi bersih,positif
tempat nyamanparkir luas,positif
tempat asyik syahdu enak olahraga keren deh tidak nyesel,positif
lokasi letak seberang aji saka resto fasilitas sedia wahana main anakanak mushola toilet kualitas tempat bagus murah jadi referensi wisata keluarga harga gratis tiket masuk belum belanja rekomendasi belanja,positif
jogging event deh kayak pekan,positif
seninrabukamis selesai sekolah cucu mampir joging nya lumayan bagus bebas parkir tugas ramah dpt undang literasi gedung nya adem moga depan tahan nunggu selesai bangun gedung belah barat sedia jajan habis joging istirahat nikmatin kuliner annya,positif
cocok intuk jalan pagi sore olahraga moga depan jual makan,positif
layak jalan lari keliling sabtu minggu ramai,positif
bagus joging pagi sore giat seru seru abis lokasi estetik parah love dehh,positif
cabang luas lengkap embungdanau teduh cocok olahraga pagisore dar nongkrong lihat pandang udah acara situ belum skala keliling putar dapet jarak km parkir gratis nggak tau besok alternatif jec mandala krida olahraga,positif
keren,positif
area luas bersih estetik,positif
nya keren,positif
ruang buka publik selatan yogyakarta manfaat olahraga jogging jalan santai sayang fasilitas tidak awat rusa sengaja lampu neng pecah vandalisme area sampah,positif
adem,positif
proses bangun dar jalan pagi klau siang panas cantik klau pohon indang,positif
terimakasih perintah keren estetik foto wisuda moga keren ya,positif
enak olah raga keluarga teman,positif
aduh sayang banget gabisa dipake joging sore,negatif
tempat bersih nyaman,positif
well,positif
ramah disabilitas lokasi tidak tengah buat mudah kunjung kendara apa slbn raya olahraga nasional loh wow tempat luas nyaman estetik parkir luas terimakasih,positif
nongkrong asik,positif
usul kasih saran tolong tiang lampu pindah foto ganggu pandang bangun udah bagus,positif
nyaman,positif
nya bersih nyaman bagus foto,positif
assyk olahraga,positif
bersih tahap bangun,positif
cocok jogging dar jalan pagisore,positif
bagus tempat olah raga tau wisata belum selesai bangun,positif
,positif
pagi,positif
suka tempat padat yogyakarta bangun keren gitu ya bangun sejarah malam malam bagus toilet bersih,positif
bagus proses bangun moga icon yogyakarta,positif
buka jam pagi alhamdulillah sarana giat olah raga masyarakat moga awat bersih maturnuwun perintah pem prop diy tolong tambah alat fitness ringan selatan lapang karang kotagede love full,positif
pretty,positif
luas banget sepi tidak tau sayang buka pagi doang,negatif
tarik kunjungiunik hijau oksigen,positif
area luas acara jarang bangun gedung lokasi aman gampang cari panggung arena acara tunjuk acara umkm cocok parkir luas sore kayak oke dudukduduk momong,positif
bagus parkir luas cocok olahraga giat budaya letak tengah akses mudah fasilitas dukung lengkap kamar mandi batas tambah tidak antre,positif
nyaman kumpul teman keluarga,positif
luas bagus sayang kurang maksimal,positif
tempat bagus bersihenak banget joging pagisaya harap tmpat sampah perbanyaksoalnya lihat utara belum tmpat sampahbiar unjung tidak buang sampah sembarang,positif
keren salah opsi bikin agenda yogykarta sisi selatan proses bangun grha budaya udah bikin acara olahraga jogging tracknya,positif
ok,positif
bagus bersih,positif
luas nyaman,positif
love,positif
wisata jadi tenpat tunjuk pentaspentas seni panghung tunjuk track joging siap temu indoor panggung outdoor,positif
tempat bersih luas,positif
luas cocok jalan jogging dar ngobrol santai,positif
ampitheater bagus,positif
bagus,positif
sepeda sabtu salah daerah giwanganjarak rumah jauhoh iya terminal bus lokasi km lumayan belah kanan jalan samping kantor bpbn habis renovasi besarbesaran bagus milik trek joging lumayan luas kali putar capek milik fasilitas mushola toilet sayang tidak awat tembok kena aksi vandalisme fasilitas rusakembung renovasi orang tidak buang sampah tempat bilang tidak bersih oh iya jalan trek joging amblas panggung hibur masyarakat konser dll minus tidak dudukduduk santai joging oh iya informasi tambah tidak buka nya sabtuminggu pasti kesini sekian review terimakasih,negatif
spot wisata yogyakarta kembang asa selatan pasar beringharjo fungsi utama lestari seni bangun megah banget gaya arsitektur jaman kolonial gedung megah tampung air samping kasih jalur olahraga jalan kaki jogging tempat luas cocok orang tua ajak main anakanaknya belah barat tunjuk buka bentuk tapal kuda desain akropolis yunani gedung utama fungsi mini galeri meeting room dll toilet dongyang tidak lupa parkir luas banget pokok tidak rugi deh main,positif
enak san recomended,positif
tempat indah nyaman walapun lapang kurang tanah nya estetic malam wisata ist the best,positif
bagus awat,positif
syawal perdana sholat idul fitri,positif
security satpam tidak attitude tidak etika tidak dicatcalling tidak ush kesini,negatif
,positif
seru banget tempat ajak anakanak biar puas lari,positif
kerja selesai tinggal nunggu buka,positif
luaas nyamaan,positif
tutup pancing terobos masuk arah moga buka bebas jadi wisata mancing keluarga,positif
butuh baik,negatif
sejuk bgtenak bwt ngisismsh sepirame eventbersih tempat,positif
giat,negatif
still need alot of improvement,negatif
ruang publik bukan joging tutup angeel angeel,negatif
gembok pagernyatempat fasilitas gembok,negatif
,positif
nice place to walk and jog,positif
nikmat wisata bas alam,positif
embung luas trex jalan kaki keliling tanam rindang belum siang panas lokasi dalam yogys,positif
embung bagus smg depan lbh baik lg akses jalan becek bwt event,positif
milik area luas fasilitas jogging track keliling tepi area hijau didalamya luas pakai acara festival yogyakarta salah satu milik akses mudah kawan difabel,positif
nonton festival yogyakarta riah the rain seru banget,positif
cantik luas,positif
gelar festival yogyakarta,positif
rekomendasi jalan jalan sore,positif
asekk,positif
tingktkan peyanan,positif
siang panas,positif
lumayan luas lmyn sepi,positif
alternatif wisata lokal ujung selatan yogyakarta tambah wahana main mjd destinasi wisata keluarga ramah anak,positif
rumput tlng kondisi,positif
in certain point of view there are some corners in this which are not ready to see need to be elevated,positif
rawat,positif
kesini pertaama kali buka yoga sayang bengkalai rusak rumput nya kes horror pendopo lawas,positif
proses bangun,positif
ruang buka hijau bagus acara buka lai,positif
belum buka,negatif
bagus,positif
belum buka tidak masuk tidak lihat nya kesini kecewa,negatif
belum buka,positif
mohon umum ingat sepeda tidak naik keliling masuk tidak ingat diteriakin jaga,negatif
bagus olahraga pagi sayang penuh tanam air,negatif
tahap kembang,positif
bagus banget,positif
bagus bangetwisata kota unjung dlm baharu tenaga tambah bersih tangga belah barat deket kebunnampak kotor,positif
benernya bagus tata kontinyu jgn man trus tidak biaya awat,positif
embung bagus bersih belum buka moga bsk klw buka jaga bersih nya,positif
ikon wisata tema edukasi konservasi air recanannya buka konservasi tabung air panen musim kemarau,positif
thats boss lad,positif
cocok joging,positif
belum nikmat utuh ubah tahap bangun parkir nya susah numpang belah tidak bolehpadahal milik perintah layan masyarakat,negatif
main kesini sampah bawa pulang,positif
mantap,positif
main,positif
rekreasi,positif
pembangunantetapi bagus kedepanyabisa olahraga lari lari,positif
depan moga wisata jangkau masyarakat,negatif
belum proses bangun tahap,positif
olah raga pagi sip,positif
bagus,positif
jogging santai nikmat kuliner,positif
jogging track nya maasyaallahalternatif banget kuat kaki hirup udara segar pagipagi biar tidak keduluan matahari view nya bikin semangat bikin yogyakarta sehat moga bener bener kelola rawat tidak sampah,positif
bangun belum selesai,positif
belum fasiltas keren,positif
tempat bagus jogging track sayang belum buka resmi sampah embung,positif
nice,positif
badan masukin sepeda celah fish market bawa kendara orang parkir pintu belah barat rute google map moga bukan proyek mangkrak alternaltif tambakboyo update tanggal oktober iseng udah tutup palang masuk kudu angkat sepeda,positif
bagus meliukliuk treck jalan bagus bagus terapi jalan alas kaki akses jalan masuk belum pada fasilitas belum pada toilet cuci tangan rest area,positif
bagus deket rumah simbah,positif
belum enak jogging sorry tidak sempet foto,positif
kisah indah burung volvo,positif
lumayan tracknya putar,positif
cocok joging mash sepi belum ad jual,positif
joging track mantul,positif
area luas olah raga pagi sore dar nyuapin anak jalan keliling kolam tingkat imun susah jarang cari olahraga buka yogyakarta trek jogging lumayan nyaman putar dah keringat belum resmi buka bbrpa warga numpang olangraga jemur momong suapin anak main layang mancing dukung manfaat maksimal buka area,positif
belum buka bangun belum selesai rancang desain keren embung luas panjang,positif
maret isengiseng nyari lokasi gmaps dapet rute rumah mblusuk dikit kebon akses pintu tralis sepeda motor tidak masuk sore pakai main layang anakanak bapakbapak mancing dapet ikan jogging pagisore oke banget lihat belum sedia sampah terang lampu area proyek bangun moga selesai biar tongkrong deket rumah hahaha,positif
bagus,positif
belum tata rapi proyek mangkrak akses susah rumah pintu masuk pager orang gemuk jamin nyangkut sampah depan,negatif
bagus cuman akses masuk blom adkurang pohon,positif
moga cepet biar jogging sana nggak,positif
kurang hijau pohon rumput tidak,negatif
letak utara jalan tegalturi tepat fish market lokasi belum buka tahap bangun foto ambil main sawah tengok hehe,positif
dah destinasi wisata daerah giwangansemoga cepat selesai bangun,positif
